title,link
Skip to content,#bbc-main
British Broadcasting Corporation,https://bbc.com/
Home,https://bbc.com/
News,https://bbc.com/news
Sport,https://bbc.com/sport
Business,https://bbc.com/business
Technology,https://bbc.com/technology
Health,https://bbc.com/health
Culture,https://bbc.com/culture
Arts,https://bbc.com/arts
Travel,https://bbc.com/travel
Earth,https://bbc.com/future-planet
Audio,https://bbc.com/audio
Video,https://bbc.com/video
Live,https://bbc.com/live
Home,https://bbc.com/home
News,https://bbc.com/news
US & Canada,https://bbc.com/news/us-canada
UK,https://bbc.com/news/uk
UK Politics,https://bbc.com/news/politics
England,https://bbc.com/news/england
N. Ireland,https://bbc.com/news/northern_ireland
N. Ireland Politics,https://bbc.com/news/northern_ireland/northern_ireland_politics
Scotland,https://bbc.com/news/scotland
Scotland Politics,https://bbc.com/news/scotland/scotland_politics
Wales,https://bbc.com/news/wales
Wales Politics,https://bbc.com/news/wales/wales_politics
Africa,https://bbc.com/news/world/africa
Asia,https://bbc.com/news/world/asia
China,https://bbc.com/news/world/asia/china
India,https://bbc.com/news/world/asia/india
Australia,https://bbc.com/news/world/australia
Europe,https://bbc.com/news/world/europe
Latin America,https://bbc.com/news/world/latin_america
Middle East,https://bbc.com/news/world/middle_east
In Pictures,https://bbc.com/news/in_pictures
BBC InDepth,https://bbc.com/news/bbcindepth
BBC Verify,https://bbc.com/news/bbcverify
Sport,https://bbc.com/sport
Business,https://bbc.com/business
World of Business,https://bbc.com/business/world-of-business
Technology of Business,https://bbc.com/business/technology-of-business
NYSE Opening Bell,https://bbc.com/business/opening-bell
Technology,https://bbc.com/technology
Artificial Intelligence,https://bbc.com/technology/artificial-intelligence
AI v the Mind,https://bbc.com/technology/ai-v-the-mind
Health,https://bbc.com/health
Culture,https://bbc.com/culture
Film & TV,https://bbc.com/culture/film-tv
Music,https://bbc.com/culture/music
Art & Design,https://bbc.com/culture/art
Style,https://bbc.com/culture/style
Books,https://bbc.com/culture/books
Entertainment News,https://bbc.com/culture/entertainment-news
Arts,https://bbc.com/arts
Arts in Motion,https://bbc.com/arts/arts-in-motion
Travel,https://bbc.com/travel
Destinations,https://bbc.com/travel/destinations
Africa,https://bbc.com/travel/destinations/africa
Antarctica,https://bbc.com/travel/destinations/antarctica
Asia,https://bbc.com/travel/destinations/asia
Australia and Pacific,https://bbc.com/travel/destinations/australia-and-pacific
Caribbean & Bermuda,https://bbc.com/travel/destinations/caribbean
Central America,https://bbc.com/travel/destinations/central-america
Europe,https://bbc.com/travel/destinations/europe
Middle East,https://bbc.com/travel/destinations/middle-east
North America,https://bbc.com/travel/destinations/north-america
South America,https://bbc.com/travel/destinations/south-america
World’s Table,https://bbc.com/travel/worlds-table
Culture & Experiences,https://bbc.com/travel/cultural-experiences
Adventures,https://bbc.com/travel/adventures
The SpeciaList,https://bbc.com/travel/specialist
Earth,https://bbc.com/future-planet
Science,https://bbc.com/innovation/science
Natural Wonders,https://bbc.com/future-planet/natural-wonders
Climate Solutions,https://bbc.com/future-planet/solutions
Sustainable Business,https://bbc.com/future-planet/sustainable-business
Green Living,https://bbc.com/future-planet/green-living
Audio,https://bbc.com/audio
Podcast Categories,https://bbc.com/audio/categories
Radio,https://bbc.com/audio/stations
Audio FAQs,https://bbc.com/undefined
Video,https://bbc.com/video
BBC Maestro,https://bbc.com/video/bbc-maestro
Discover the World,https://bbc.com/video/discover-the-world
Live,https://bbc.com/live
Live News,https://bbc.com/live/news
Live Sport,https://bbc.com/live/sport
Home,https://bbc.com/
Sport,https://bbc.com/sport
Health,https://bbc.com/health
Weather,https://www.bbc.com/weather
Newsletters,https://www.bbc.com/newsletters
LIVEIranian commander threatens shipping in Gulf and Red Sea if US naval blockade continues,https://www.bbc.com/news/live/c20dd5ynxz9t
"Sri Lanka repatriates 238 Iranian sailors stranded after US torpedo attackThe survivors of the US attack on Iranian vessel Iris Dena, which claimed the lives of 104 people, were among those sent home.5 hrs agoWorld",https://bbc.com/news/articles/c9qdd318qd9o
Trump's rift with Pope is playing out in public - it's costing him valuable supportLeading conservative Catholics tell the BBC why they back the American pontiff in his spat with Trump.4 hrs agoUS & Canada,https://bbc.com/news/articles/c070jxyjrmeo
Trump threatens to fire Fed chair Powell if he doesn't leave in MayDonald Trump's threat marks the latest escalation in his ongoing spat with Jerome Powell.58 mins agoBusiness,https://bbc.com/news/articles/c9qddrdd8w2o
"Bogus websites, staged protests and pretend atheists: Inside the fake asylum industryIn the second part of an undercover investigation, the BBC exposes elaborate deceptions being used to bolster fake asylum claims.5 hrs agoPolitics",https://bbc.com/news/articles/c86eew6jpjgo
Watch: Moment gunman tackled by school principalCCTV footage shows a high school principal charging towards a former student who was armed in Oklahoma.6 hrs agoUS & Canada,https://bbc.com/news/videos/c8dll87rrm4o
"Australia's richest person must share part of her mining fortunes, court rulesThe long-running legal dispute is over a lucrative iron ore project in the top west corner of Australia.11 hrs agoAustralia",https://bbc.com/news/articles/cq5990nqjg2o
"This monkey selfie will protect you from AI slopWhat happens when something that isn't human makes art? The answer lies with this image, and it will change what ends up on your screen and in your headphones forever.",https://bbc.com/future/article/20260414-the-monkey-selfie-that-predicted-the-ai-age
Why are so many Americans moving to Ireland?The number of Americans moving to Ireland last year was higher than the number of Irish people migrating to the US. Was this just a blip or the start of a more profound trend?,https://bbc.com/worklife/article/20260414-why-more-americans-are-now-moving-to-ireland
Recommended audio,https://www.bbc.com/audio
The Global StoryIs the Strait of Hormuz Iran’s trump card?,https://bbc.com/audio/play/w3ct8mhc
Global News PodcastThree years of war in Sudan,https://bbc.com/audio/play/p0ndff2d
Witness HistoryThe assassination of Thomas Sankara,https://bbc.com/audio/play/w3ct987y
The Documentary PodcastSurviving my daughter's killing,https://bbc.com/audio/play/p0ncr0lv
"The InterviewJohn Healey, UK Defence Secretary: Russia’s covert operations",https://bbc.com/audio/play/w3ct98gq
Business DailyReinventing Kodak,https://bbc.com/audio/play/w3ct98rr
Witness HistoryRoddy Doyle: Paddy Clarke Ha Ha Ha,https://bbc.com/audio/play/w3ct985p
Business DailyIran’s economy: Counting the cost of war,https://bbc.com/audio/play/w3ct8gqn
The Documentary PodcastPakistan: Hospitals putting children at risk of HIV,https://bbc.com/audio/play/p0ncny4d
AmericastAmericanswers... on 5 Live! Donald Trump vs Pope Leo on Iran,https://bbc.com/audio/play/p0nd6swy
Documentaries,https://www.bbc.com/video/docs
Trump and the Tech Titans20251 episodeTV-GWhat do the heads of massive tech companies stand to gain from the Trump presidency?View series,https://bbc.com/video/docs/series/10254863
More news,https://www.bbc.com/news
"Canada was once a dream destination for Indian students. Is that changing?Tighter rules, rising costs and visa risks are forcing Indian students to rethink studying in Canada.18 hrs agoWorld",https://bbc.com/news/articles/cj37y8np54eo
"250 missing after migrant boat sinks in Indian OceanThe trawler ""reportedly sank due to heavy winds, rough seas and overcrowding"", the United Nations said.7 hrs agoAsia",https://bbc.com/news/articles/cz6778j78vlo
"Israel and Hezbollah continue attacks after Israel-Lebanon talks in USIsrael strikes hit southern Lebanon and Hezbollah fires rockets at Israel, a day after rare direct negotiations.57 mins agoMiddle East",https://bbc.com/news/articles/c87ww2z0z3zo
South Korea jails American YouTuber for public nuisanceJohnny Somali sparked outrage after kissing a statue representing World War Two sex slaves.11 hrs agoAsia,https://bbc.com/news/articles/cj400lje9vxo
Meghan to appear as guest judge on MasterChef AustraliaThe Duke and Duchess of Sussex are on a four-day visit to Australia - their first since 2018.5 hrs agoAustralia,https://bbc.com/news/articles/cx2eejdwpk5o
"Four killed in second Turkish school shooting in two daysThree students and one teacher died in the attack, according to the local governor.1 hr agoEurope",https://bbc.com/news/articles/cn088n9e6e9o
Australian pleads guilty to creating deepfake porn in landmark caseThe 19-year-old is the first person to be charged under a new national law.8 hrs agoAustralia,https://bbc.com/news/articles/c39333x0xeno
Must watch,https://www.bbc.com/video
Watch: Reporter told to pose as gay for asylum claimA BBC reporter goes undercover and speaks to an adviser encouraging migrants to cheat the asylum system.Politics,https://bbc.com/news/videos/cjd89jy7lp7o
"'I can feel the difference' - Americans react to soaring gas pricesPresident Donald Trump said over the weekend that oil and gas prices ""could be the same or maybe a little bit higher"" in the coming months.US & Canada",https://bbc.com/news/videos/c15ddld3gggo
New footage shows moment Orion capsule hatch is opened at seaNewly released video shows the moment the hatch of Artemis II's Orion capsule is unlocked to a joyful reunion with the four astronauts.Science & Environment,https://bbc.com/news/videos/clyxxnz97wxo
