server:FrontEnd | ip_address:192.168.0.1 | status:OFFLINE
server:FrontEnd | ip_address:192.168.0.1 | status:OFFLINE
server:BackEnd | ip_address:192.168.0.2 | status:ONLINE
server:database | ip_address:192.168.0.3 | status:ONLINE
server:FrontEnd | ip_address:192.168.0.1 | status:OFFLINE
server:BackEnd | ip_address:192.168.0.2 | status:ONLINE
server:database | ip_address:192.168.0.3 | status:ONLINE
server:FrontEnd | ip_address:192.168.0.1 | status:OFFLINE
server:BackEnd | ip_address:192.168.0.2 | status:ONLINE
server:database | ip_address:192.168.0.3 | status:ONLINE
server:FrontEnd | ip_address:192.168.0.1 | status:ONLINE
server:BackEnd | ip_address:192.168.0.2 | status:ONLINE
server:database | ip_address:192.168.0.3 | status:ONLINE
server:FrontEnd | ip_address:192.168.0.1 | status:OFFLINE
server:BackEnd | ip_address:192.168.0.2 | status:ONLINE
server:database | ip_address:192.168.0.3 | status:ONLINE
server:FrontEnd | ip_address:192.168.0.1 | status:ONLINE
server:BackEnd | ip_address:192.168.0.2 | status:ONLINE
server:database | ip_address:192.168.0.3 | status:ONLINE
